order_day,revenue,prev_day_revenue
2002-12-31,10.5,
2008-12-31,136.58,10.5
2009-01-01,59.4,136.58
2023-12-31,1165078.9799999867,59.4
2024-01-01,2759548.3099999,1165078.9799999867
2024-01-02,3426053.5999997086,2759548.3099999
2024-01-03,3427735.069999791,3426053.5999997086
2024-01-04,4007286.519999738,3427735.069999791
2024-01-05,4090136.229999748,4007286.519999738
2024-01-06,3649025.839999859,4090136.229999748
2024-01-07,2522943.5999999177,3649025.839999859
2024-01-08,2988834.109999857,2522943.5999999177
2024-01-09,3083104.5299998866,2988834.109999857
2024-01-10,3340740.0499998564,3083104.5299998866
2024-01-11,3911139.919999793,3340740.0499998564
2024-01-12,4191198.2399997725,3911139.919999793
2024-01-13,3911571.6999997892,4191198.2399997725
2024-01-14,3215530.439999854,3911571.6999997892
2024-01-15,2958171.9399998034,3215530.439999854
2024-01-16,3435536.0699998485,2958171.9399998034
2024-01-17,3809164.0799997663,3435536.0699998485
2024-01-18,3866457.9599998086,3809164.0799997663
2024-01-19,3623149.589999808,3866457.9599998086
2024-01-20,3719346.049999864,3623149.589999808
2024-01-21,2723508.149999883,3719346.049999864
2024-01-22,3071184.9099997934,2723508.149999883
2024-01-23,3383979.379999882,3071184.9099997934
2024-01-24,3580195.7299998235,3383979.379999882
2024-01-25,3956940.3899997612,3580195.7299998235
2024-01-26,4094214.25999982,3956940.3899997612
2024-01-27,3967894.349999827,4094214.25999982
2024-01-28,2815389.969999882,3967894.349999827
2024-01-29,3041265.8699998087,2815389.969999882
2024-01-30,3354991.3399998345,3041265.8699998087
2024-01-31,3302438.0699998084,3354991.3399998345
